Planting date,Software,Location,Date,DOY,Altitude (m),Stage-Full,Stage,Plot_ID,Replicate,Zone,Zone_Identification,Cover_Crop_Variety,Treatment_2__Cut_Fill_Range,One_Mix_None_Cover_Crop,Thermal,NDWI,EVI,NAVI,GNDVI,Cigreen,RENDVI,TGI,SAVI,CI_RedEdge,BI,SCI,GLI,NGRDI_Zonal,SI,VARI,HUE,BGI,PSRI,RVI,TVI,CVI,NDVI,DVI,Soy_yiled(bu/acre),Observed data,Days after planting,Canopy Height (cm),LAI
,Pix4d,Rice_Station,1/22/2021,22,120,,,101,1,1,"12"""" Fill",Triticale (TR),0.8:1.04,One (TR),0.0230871,-0.2330499,0.1859726,0.3023841,0.2330499,0.6155971,0.0774042,2.3812022,0.0832173,0.1689806,0.2432545,0.0556854,0.0283751,-0.0556854,0.1835505,-0.0874951,0.0006448,0.7717811,0.0859479,1.4457551,6.0811934,1.8078569,0.179732,0.0569663,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,206,2,5,"12"""" Cut",Cereal Rye (CR),-0.9:-1.1,One (CR),-1.0935166,-0.1896077,0.1078882,0.1824606,0.1896077,0.4710505,0.0453756,1.9377643,0.0518752,0.0954008,0.3030091,0.0907189,0.005847,-0.0907189,0.2139181,-0.1400017,0.0016599,0.776924,0.1484842,1.2250572,2.4031515,1.7681812,0.1007263,0.0375183,46.40,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,301,3,5,"12"""" Cut",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),-0.9:-1.1,MIX (CR+BO+TR),-1.0886062,-0.1813746,0.1019893,0.1733516,0.1813746,0.4460452,0.0411435,2.0605092,0.0487755,0.0861563,0.3033016,0.0877316,0.0081765,-0.0877316,0.2122988,-0.1354195,0.0016091,0.7749396,0.1443493,1.2116165,2.1821835,1.7275453,0.0952523,0.0337097,50.04,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,101,1,2,"6"""" Fill",Triticale (TR),0.4:0.5,One (TR),-0.6795319,-0.2398256,0.1970987,0.319174,0.2398256,0.6417435,0.0829396,2.5604167,0.088125,0.182761,0.2369938,0.0500206,0.0339745,-0.0500206,0.1833493,-0.0783954,0.0005581,0.763371,0.0767676,1.4867263,6.6129246,1.8160266,0.1921071,0.0606085,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,303,3,5,"12"""" Cut",Black Oat (BO),-0.9:-1.1,One (BO),-1.0165875,-0.1677231,0.0842413,0.1490675,0.1677231,0.4058577,0.032306,2.3580835,0.0411938,0.0671216,0.3055095,0.0881591,0.0119554,-0.0881591,0.2225045,-0.1345925,0.0016743,0.7591367,0.1466298,1.1768204,1.4386104,1.6810551,0.0808527,0.0260904,46.96,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,304,3,5,"12"""" Cut",NC,-0.9:-1.1,NO,-1.0852498,-0.1641863,0.0793414,0.1427787,0.1641863,0.3959323,0.0330589,2.1958799,0.0383286,0.0687832,0.2985673,0.0881454,0.0102969,-0.0881454,0.2184516,-0.1351549,0.0015894,0.7656268,0.1478953,1.1684979,1.1977712,1.6694547,0.0772557,0.0255273,46.49,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,305,3,5,"12"""" Cut",Cereal Rye (CR),-0.9:-1.1,One (CR),-1.1969516,-0.1690984,0.094691,0.1593932,0.1690984,0.4096505,0.0348445,2.4145224,0.0455712,0.0725845,0.3166015,0.083455,0.0127041,-0.083455,0.2127859,-0.1284959,0.001678,0.7674782,0.1384729,1.1914718,1.9450585,1.669337,0.086951,0.0294945,54.94,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,306,3,5,"12"""" Cut",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),-0.9:-1.1,MIX (CR+CC+KA),-1.3833269,-0.1666683,0.1009946,0.1598697,0.1666683,0.4023229,0.0344907,2.7682109,0.0489626,0.0717233,0.351746,0.0807383,0.0144497,-0.0807383,0.2103879,-0.1244736,0.0019979,0.767132,0.1341512,1.1918602,2.261246,1.6514211,0.0871734,0.0325558,48.60,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,401,4,5,"12"""" Cut",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),-0.9:-1.1,MIX (CR+CC+KA),-1.3192955,-0.1654856,0.0968815,0.1530683,0.1654856,0.3991347,0.0335605,2.6967113,0.0471548,0.0697636,0.3588677,0.0835046,0.0124897,-0.0835046,0.2124623,-0.1285915,0.0021471,0.7681857,0.1392032,1.1824704,1.9895396,1.656992,0.0832089,0.0321712,49.00,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,402,4,5,"12"""" Cut",NC,-0.9:-1.1,NO,-1.2737548,-0.1577749,0.0847295,0.1363452,0.1577749,0.3772698,0.0340062,2.2334344,0.0403579,0.0708107,0.3496446,0.0853992,0.0072087,-0.0853992,0.2042844,-0.1329306,0.0020506,0.7844359,0.14499,1.1593204,1.2960386,1.6378185,0.0734499,0.0308411,43.36,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,101,1,3,No Fill No Cut,Triticale (TR),0.09:-0.09,One (TR),-0.5884284,-0.2495825,0.2114484,0.3328014,0.2495825,0.6778766,0.0897874,2.1477909,0.0919226,0.1992254,0.233661,0.0501214,0.0275784,-0.0501214,0.1685913,-0.0798691,0.000525,0.787169,0.076186,1.5187999,6.9410253,1.8564296,0.2020247,0.0650767,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,404,4,5,"12"""" Cut",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),-0.9:-1.1,MIX (CR+BO+TR),-1.3583709,-0.1583727,0.0953557,0.1479429,0.1583727,0.3784444,0.0350268,2.2981598,0.0445281,0.0729314,0.3512066,0.0792784,0.0094274,-0.0792784,0.1947647,-0.1244108,0.0019002,0.7902778,0.1339267,1.1750796,1.8731717,1.618289,0.0801635,0.0323975,47.13,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,405,4,5,"12"""" Cut",Cereal Rye (CR),-0.9:-1.1,One (CR),-1.2423843,-0.1626674,0.0987236,0.1518514,0.1626674,0.3905979,0.0370943,2.3499882,0.0466024,0.0773886,0.3586094,0.0813814,0.0089195,-0.0813814,0.1986248,-0.1272603,0.002047,0.7872748,0.1371781,1.1804583,1.9970586,1.6395488,0.0824382,0.0352741,53.07,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,406,4,5,"12"""" Cut",Black Oat (BO),-0.9:-1.1,One (BO),-1.4031329,-0.1468317,0.0924971,0.1356286,0.1468317,0.3455093,0.0296854,2.8007958,0.0433051,0.0614975,0.3950352,0.0747358,0.0126384,-0.0747358,0.1914714,-0.1174866,0.0022726,0.7884139,0.1273906,1.1578306,1.7741061,1.5647695,0.0729299,0.030381,39.02,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,101,1,4,"6"""" Cut",Triticale (TR),0.4:-0.6,One (TR),-1.3147793,-0.1671475,0.1149355,0.177607,0.1671475,0.4036122,0.0434635,1.8055049,0.0503975,0.0912534,0.3117637,0.0705055,0.0081947,-0.0705055,0.1709708,-0.1132841,0.0012872,0.8155676,0.1179779,1.2181222,2.7470593,1.6190016,0.0978453,0.0358766,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,102,1,1,"12"""" Fill",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),0.8:1.04,MIX (CR+BO+TR),0.0674945,-0.2277491,0.1832473,0.2925889,0.2277491,0.5994624,0.0721952,2.6903813,0.0835598,0.1569543,0.2603157,0.0568386,0.0303785,-0.0568386,0.1910424,-0.0885808,0.0007686,0.7616135,0.0877667,1.4276925,6.1381931,1.7939399,0.1732374,0.0563927,54.65,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,103,1,1,"12"""" Fill",Black Oat (BO),0.8:1.04,One (BO),-0.1215391,-0.1974471,0.1463104,0.2334296,0.1974471,0.4961437,0.055402,2.5911756,0.0673707,0.1178261,0.2898442,0.0662265,0.0221856,-0.0662265,0.1939089,-0.1033291,0.0011006,0.7712613,0.1062801,1.3101149,4.465519,1.7103167,0.1330189,0.0455655,56.88,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,104,1,1,"12"""" Fill",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),0.8:1.04,MIX (CR+CC+KA),0.0711958,-0.233843,0.1884138,0.29562,0.233843,0.6219641,0.0758613,2.4620802,0.0855648,0.1657149,0.2641992,0.0605112,0.025533,-0.0605112,0.1882332,-0.0948513,0.0008521,0.771699,0.0935913,1.4381611,6.2384315,1.8314976,0.1758693,0.060121,56.05,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,105,1,1,"12"""" Fill",NC,0.8:1.04,NO,-0.3234138,-0.1729461,0.1084644,0.1781854,0.1729461,0.4212667,0.0445623,1.9030174,0.0491788,0.0936687,0.2966649,0.0760104,0.0093792,-0.0760104,0.186808,-0.1202574,0.0012789,0.7982234,0.1266112,1.2196796,2.526628,1.6579397,0.0983012,0.0351938,51.59,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,106,1,1,"12"""" Fill",Cereal Rye (CR),0.8:1.04,One (CR),-0.1285665,-0.2273921,0.1833754,0.2871559,0.2273921,0.5990297,0.0727634,2.515676,0.0834177,0.1582502,0.268469,0.0601823,0.025721,-0.0601823,0.1879139,-0.0943191,0.000859,0.7716147,0.0933962,1.4174819,6.0718021,1.807952,0.169626,0.0583455,51.70,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,201,2,1,"12"""" Fill",NC,0.8:1.04,NO,-0.3307724,-0.1723635,0.1052329,0.1769666,0.1723635,0.4194378,0.0417305,1.9411101,0.0479194,0.087436,0.2891008,0.0762986,0.0104399,-0.0762986,0.190035,-0.1202318,0.0012219,0.7933446,0.1264434,1.2170273,2.4219055,1.6573939,0.097434,0.0321287,51.13,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,202,2,1,"12"""" Fill",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),0.8:1.04,MIX (CR+BO+TR),-0.207675,-0.2075988,0.1569468,0.2549733,0.2075988,0.5309088,0.058907,2.5605218,0.0717202,0.1261914,0.2687381,0.0619861,0.0257107,-0.0619861,0.1921524,-0.0967267,0.0008829,0.7675537,0.097719,1.3523594,4.9506283,1.7349671,0.1475835,0.046059,53.08,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,203,2,1,"12"""" Fill",Black Oat (BO),0.8:1.04,One (BO),-0.222797,-0.1960987,0.1430109,0.2337692,0.1960987,0.4916957,0.052491,2.493454,0.0653713,0.1113136,0.277279,0.0648022,0.0226457,-0.0648022,0.1915553,-0.1013544,0.0009719,0.7728101,0.1034544,1.30955,4.3105874,1.7010267,0.1330609,0.0412542,50.77,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,204,2,1,"12"""" Fill",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),0.8:1.04,MIX (CR+CC+KA),-0.2425337,-0.2183013,0.1764943,0.2679068,0.2183013,0.5665885,0.0692541,2.5447335,0.0807183,0.149861,0.2930436,0.064499,0.021543,-0.064499,0.1882448,-0.1011979,0.0010742,0.7776631,0.1016446,1.3761318,5.8033328,1.785522,0.1561334,0.0592306,53.48,,,,
,Pix4d,Rice_Station,2/5/2021,36,120,,,101,1,5,"12"""" Cut",Triticale (TR),-0.9:-1.1,One (TR),3.0107446,-0.1874122,0.0834802,0.1831867,0.1874122,0.463935,0.0421742,1.8409981,0.039868,0.0883979,0.2031672,0.0877419,0.0177323,-0.0877419,0.2355916,-0.1320896,0.0007676,0.7377681,0.1432144,1.2274811,1.6892581,1.747116,0.1013955,0.0238431,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,206,2,1,"12"""" Fill",Cereal Rye (CR),0.8:1.04,One (CR),-0.410706,-0.199347,0.1672636,0.2386601,0.199347,0.5041044,0.060757,2.7598708,0.0762603,0.1301907,0.3393478,0.0644771,0.019449,-0.0644771,0.1832055,-0.1017567,0.0014369,0.7857315,0.1038833,1.3215356,5.4389009,1.7132952,0.1367282,0.058078,46.40,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,301,3,1,"12"""" Fill",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),0.8:1.04,MIX (CR+BO+TR),-0.0822443,-0.2213742,0.1849842,0.2753266,0.2213742,0.5768254,0.071573,2.55897,0.0839726,0.1553227,0.2972504,0.0622977,0.0221288,-0.0622977,0.184374,-0.0981143,0.0010833,0.7804949,0.0980105,1.3923403,6.1510267,1.787552,0.1613714,0.0621804,50.04,,,,
,Pix4d,Rice_Station,2/5/2021,36,120,,,101,1,1,"12"""" Fill",Triticale (TR),0.8:1.04,One (TR),3.1002767,-0.2650002,0.1682531,0.3430109,0.2650002,0.737865,0.0928565,1.8923289,0.0757169,0.2073766,0.1636954,0.0575188,0.035487,-0.0575188,0.2049825,-0.0883724,0.0003209,0.7410834,0.0864061,1.553383,5.1733503,1.9486824,0.2105294,0.0491412,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,303,3,1,"12"""" Fill",Black Oat (BO),0.8:1.04,One (BO),-0.2616159,-0.1849612,0.1372435,0.2111476,0.1849612,0.4573063,0.0499933,2.2360816,0.0617353,0.1056869,0.3089264,0.0678193,0.0149558,-0.0678193,0.1805321,-0.1076397,0.0012502,0.7954447,0.1105512,1.2715719,3.8911381,1.6735324,0.118686,0.0425564,46.96,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,304,3,1,"12"""" Fill",NC,0.8:1.04,NO,-0.2870524,-0.1723517,0.1119,0.1792271,0.1723517,0.4196872,0.0431042,1.9421605,0.0505983,0.0905535,0.3074853,0.0747332,0.0094186,-0.0747332,0.1838658,-0.1186151,0.0013471,0.8011285,0.1241587,1.2214264,2.6728773,1.6516354,0.0989755,0.0352387,46.49,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,305,3,1,"12"""" Fill",Cereal Rye (CR),0.8:1.04,One (CR),-0.161648,-0.2132511,0.1721373,0.2607735,0.2132511,0.5504336,0.0659432,2.3303001,0.0774641,0.1424702,0.2927582,0.0636746,0.019203,-0.0636746,0.1807294,-0.1008713,0.0010688,0.7887049,0.1008674,1.3652289,5.4689946,1.7623823,0.1517172,0.0554134,54.94,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,306,3,1,"12"""" Fill",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),0.8:1.04,MIX (CR+CC+KA),-0.3842862,-0.2087788,0.1721686,0.2519121,0.2087788,0.5335014,0.0618743,2.5759017,0.0786381,0.1326777,0.3178617,0.0655966,0.0190247,-0.0655966,0.1848402,-0.1034789,0.0012895,0.7849245,0.1040596,1.3444693,5.6124387,1.7504069,0.1452613,0.056669,48.60,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,401,4,1,"12"""" Fill",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),0.8:1.04,MIX (CR+CC+KA),-0.5123292,-0.205675,0.1726032,0.2460623,0.205675,0.5239072,0.0616047,2.6084964,0.0787448,0.1321265,0.3350019,0.0662231,0.0175663,-0.0662231,0.1828759,-0.1047365,0.0014367,0.7890936,0.1056925,1.3342268,5.6387072,1.7418507,0.1414826,0.0587777,49.00,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,402,4,1,"12"""" Fill",NC,0.8:1.04,NO,-0.6773695,-0.1659944,0.1135115,0.1688331,0.1659944,0.4012307,0.0423551,2.2372494,0.0517023,0.0889196,0.3562482,0.0744977,0.0091625,-0.0744977,0.1826629,-0.1183811,0.0018014,0.8026365,0.1251725,1.2060519,2.7075393,1.6293612,0.0927291,0.0393741,43.36,,,,
,Pix4d,Rice_Station,2/5/2021,36,120,,,101,1,2,"6"""" Fill",Triticale (TR),0.4:0.5,One (TR),3.2531905,-0.2703483,0.1827382,0.3562573,0.2703483,0.7619224,0.0987915,2.0839996,0.0821782,0.2229078,0.1694778,0.0516283,0.0405569,-0.0516283,0.203024,-0.0792496,0.0003188,0.735429,0.0780625,1.5970724,5.7995019,1.949549,0.2214183,0.0548343,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,404,4,1,"12"""" Fill",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),0.8:1.04,MIX (CR+BO+TR),-0.2932295,-0.2114439,0.1767427,0.2589929,0.2114439,0.5429254,0.0659175,2.3894894,0.0792485,0.1421253,0.3069461,0.0633675,0.0182355,-0.0633675,0.1776703,-0.1006956,0.0011517,0.7930377,0.1006153,1.359181,5.6971154,1.753073,0.1501615,0.0581748,47.13,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,405,4,1,"12"""" Fill",Cereal Rye (CR),0.8:1.04,One (CR),-0.1824792,-0.2207106,0.1819197,0.272824,0.2207106,0.5746236,0.0683315,2.3279886,0.0818479,0.1478221,0.2901955,0.0634163,0.0193151,-0.0634163,0.1803322,-0.1004699,0.0010373,0.7887926,0.0992348,1.3870273,5.909513,1.7891079,0.1596173,0.058119,53.07,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,406,4,1,"12"""" Fill",Black Oat (BO),0.8:1.04,One (BO),-0.3108258,-0.1966885,0.154866,0.2375583,0.1966885,0.4935552,0.0538937,2.1964509,0.0686376,0.1143797,0.2919129,0.0628892,0.0172174,-0.0628892,0.1740981,-0.1004402,0.0010198,0.798167,0.1003622,1.3164151,4.663578,1.6957546,0.1355458,0.0444723,39.02,,,,
,Pix4d,Rice_Station,2/5/2021,36,120,,,101,1,3,No Fill No Cut,Triticale (TR),0.09:-0.09,One (TR),3.6916265,-0.2728108,0.1826374,0.3562109,0.2728108,0.7711946,0.1006526,1.6744902,0.0801635,0.227071,0.1644617,0.0548664,0.0302815,-0.0548664,0.1862029,-0.0858663,0.0002958,0.7663345,0.0824532,1.5930524,5.5951777,1.9767197,0.2209933,0.0541222,66.73,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,102,1,2,"6"""" Fill",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),0.4:0.5,MIX (CR+BO+TR),-0.6988346,-0.2331449,0.185776,0.2981207,0.2331449,0.6193023,0.0735958,2.6283226,0.0848479,0.1606952,0.2543434,0.0579267,0.0301876,-0.0579267,0.1931963,-0.0900411,0.0007575,0.7597528,0.0892117,1.4437497,6.2119865,1.819731,0.1776101,0.0568598,54.65,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,103,1,2,"6"""" Fill",Black Oat (BO),0.4:0.5,One (BO),-0.9269828,-0.1977663,0.1464956,0.2331359,0.1977663,0.4971503,0.0544109,2.5039525,0.0672477,0.1157213,0.2891513,0.066737,0.020868,-0.066737,0.1919466,-0.1045015,0.0010953,0.7752761,0.1069088,1.3096919,4.4452734,1.7132372,0.1328386,0.0446944,56.88,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,104,1,2,"6"""" Fill",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),0.4:0.5,MIX (CR+CC+KA),-0.7110162,-0.2376962,0.2008779,0.3103676,0.2376962,0.6335944,0.0776495,2.5397744,0.0901289,0.1696413,0.2593058,0.0546684,0.0285719,-0.0546684,0.1815049,-0.086167,0.0007192,0.7734134,0.0834185,1.4644494,6.7996535,1.8242581,0.1855233,0.0616614,56.05,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,105,1,2,"6"""" Fill",NC,0.4:0.5,NO,-0.8943706,-0.1845278,0.1274102,0.2076644,0.1845278,0.4570244,0.049418,1.990418,0.0569257,0.104618,0.2820591,0.0694631,0.0134183,-0.0694631,0.1807854,-0.1103816,0.0010457,0.7977893,0.1133839,1.2669339,3.4187527,1.6779345,0.1166527,0.0380102,51.59,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,106,1,2,"6"""" Fill",Cereal Rye (CR),0.4:0.5,One (CR),-0.6413405,-0.2368837,0.2033579,0.3128387,0.2368837,0.6302058,0.0774055,2.4806657,0.0901744,0.1689949,0.256996,0.0520847,0.0287136,-0.0520847,0.1757348,-0.082532,0.0006667,0.7786294,0.0793727,1.4690536,6.8391967,1.811053,0.1871789,0.0608101,51.70,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,201,2,2,"6"""" Fill",NC,0.4:0.5,NO,-1.0007036,-0.1757166,0.1150212,0.1890952,0.1757166,0.4298759,0.0432247,2.0010195,0.0517493,0.0908622,0.2889211,0.0722277,0.0122345,-0.0722277,0.1846255,-0.1143117,0.0011445,0.7958831,0.118748,1.2360311,2.8722751,1.6563134,0.1049185,0.0336134,51.13,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,202,2,2,"6"""" Fill",Cereal Rye+ Black Oat+ Triticale (CR+BO+TR),0.4:0.5,MIX (CR+BO+TR),-0.8744782,-0.2061647,0.1513809,0.2501336,0.2061647,0.5244128,0.0585809,2.4716141,0.0692287,0.1251713,0.2650766,0.064207,0.0241541,-0.064207,0.1937735,-0.1000901,0.0008859,0.7683794,0.1015636,1.3401409,4.6712208,1.7359471,0.1439392,0.0448753,53.08,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,203,2,2,"6"""" Fill",Black Oat (BO),0.4:0.5,One (BO),-1.091874,-0.1887437,0.1397367,0.2182701,0.1887437,0.4683546,0.0521628,2.3901858,0.0634045,0.1104987,0.3009518,0.0672541,0.0177807,-0.0672541,0.1858602,-0.1060387,0.0011734,0.7858934,0.1092457,1.2828629,4.0795717,1.6824822,0.1231078,0.0437049,50.77,,,,
,Pix4d,Rice_Station,1/22/2021,22,120,,,204,2,2,"6"""" Fill",Cereal Rye+ Crimson Clover+ Kale (CR+CC+KA),0.4:0.5,MIX (CR+CC+KA),-1.0435845,-0.2109872,0.1776693,0.2599595,0.2109872,0.5412633,0.0636143,2.7249053,0.0809076,0.1366819,0.313104,0.062327,0.0222072,-0.062327,0.1846654,-0.0981356,0.0011918,0.7801611,0.0984969,1.3603066,5.9096203,1.7484493,0.1507217,0.0577645,53.48,,,,
,Pix4d,Rice_Station,2/5/2021,36,120,,,101,1,4,"6"""" Cut",Triticale (TR),0.4:-0.6,One (TR),2.8152101,-0.1814507,0.0875954,0.1858903,0.1814507,0.4473057,0.0450469,1.3480341,0.0393333,0.0949631,0.1994426,0.0798282,0.0100999,-0.0798282,0.1977011,-0.1248568,0.000625,0.7863016,0.1312625,1.2326146,1.8039304,1.7010576,0.1032113,0.0243732,66.73,,,,
